Date,Open,High,Low,Close,Volume
2004-11-10,14.671,15.556,14.671,15.494,92485684
2004-11-12,15.494,16.316,15.494,15.62,33043124
2004-11-15,15.494,15.62,15.244,15.556,13745412
2004-11-16,15.494,15.556,15.431,15.494,6238392
2004-11-17,15.494,15.556,15.368,15.494,5149683
2004-11-18,15.494,15.556,15.431,15.494,2864261
2004-11-19,15.556,15.556,15.368,15.368,4779334
2004-11-22,15.306,15.368,15.048,15.244,5857000
2004-11-23,15.181,15.244,15.048,15.181,5658097
2004-11-24,15.181,15.181,15.048,15.181,5060924
2004-11-25,15.181,15.62,15.181,15.62,4476387
2004-11-26,15.556,15.62,15.431,15.62,1699385
2004-11-29,15.556,15.683,15.494,15.683,3624320
2004-11-30,15.683,15.87,15.62,15.808,7947830
2004-12-01,15.62,15.94,15.556,15.94,3929706
2004-12-02,15.87,16.191,15.87,16.128,4275074
2004-12-03,16.128,16.191,16.001,16.191,4299134
2004-12-06,16.064,16.128,15.87,16.064,1822736
2004-12-07,16.001,16.378,16.001,16.378,4396246
2004-12-08,16.191,16.316,16.128,16.253,1986202
2004-12-09,16.128,16.191,16.001,16.064,1338619
2004-12-10,16.001,16.253,16.001,16.128,3768571
2004-12-13,16.064,16.128,15.808,15.94,1556214
2004-12-14,15.87,16.064,15.808,15.94,2420829
2004-12-15,15.87,16.001,15.808,15.87,1365018
2004-12-16,15.87,16.128,15.808,16.064,2108608
2004-12-17,16.001,16.441,15.94,16.441,3942905
2004-12-20,16.441,17.075,16.441,17.012,4813327
2004-12-21,16.887,17.451,16.761,17.326,3615660
2004-12-22,17.388,18.023,16.887,17.326,4003908
2004-12-23,17.138,17.451,16.761,16.761,1854163
2004-12-24,16.761,17.012,16.698,17.012,376701
2004-12-27,17.012,17.012,16.824,16.949,705231
2004-12-28,16.949,16.949,16.698,16.761,931440
2004-12-29,16.761,17.326,16.761,17.2,1972721
2004-12-30,17.263,17.708,17.263,17.521,1632565
2004-12-31,17.521,17.708,17.521,17.584,580198
2005-01-03,17.708,18.147,17.646,17.96,2235054
2005-01-04,17.834,17.96,17.646,17.834,1566530
2005-01-05,17.708,17.834,17.326,17.326,2178951
2005-01-06,17.263,17.708,16.949,17.584,2078381
2005-01-07,17.521,17.896,17.451,17.896,2155251
2005-01-10,17.708,17.771,17.451,17.521,1608160
2005-01-11,17.584,17.646,17.2,17.584,1544059
2005-01-12,17.388,17.584,17.263,17.584,855544
2005-01-13,17.584,17.708,17.451,17.646,2399520
2005-01-14,17.521,17.584,17.263,17.263,1191986
2005-01-17,17.326,17.451,17.075,17.326,1742747
2005-01-18,16.761,17.2,16.567,16.698,2288893
2005-01-19,16.503,17.075,16.316,17.075,4010720
2005-01-20,16.887,17.263,16.698,16.824,4615109
2005-01-21,16.698,16.824,16.441,16.567,1591812
2005-01-24,16.441,16.761,16.441,16.761,1313450
2005-01-25,16.761,17.138,16.698,17.075,1965191
2005-01-26,17.075,17.326,16.949,17.326,1255223
2005-01-27,17.2,17.326,17.012,17.012,1762808
2005-01-28,17.012,17.012,16.824,16.824,1701419
2005-01-31,16.887,16.887,16.698,16.761,1101738
2005-02-01,16.761,17.075,16.698,16.949,1245904
2005-02-02,16.949,16.949,16.567,16.63,1177996
2005-02-03,16.63,16.761,16.503,16.567,1410558
2005-02-04,16.63,17.075,16.63,17.012,2125440
2005-02-07,17.138,17.2,16.949,17.2,1413796
2005-02-08,17.2,17.2,17.075,17.138,1105573
2005-02-09,17.075,17.075,16.824,16.887,886295
